,To 1,To 2,To 3,To 4,To 5,To 6,To 7,Total Letters Sent
Average From 1,0.0,11.5,0.5,0.0,0.0,0.0,0.0,24.0
Average From 2,4.75,2.0,1.5,1.0,0.0,0.25,0.0,38.0
Average From 3,0.13333333333333333,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,19.0
Average From 4,0.15384615384615385,2.5384615384615383,0.0,0.0,0.0,0.0,0.0,35.0
Average From 5,0.723404255319149,0.40425531914893614,0.0,0.14893617021276595,0.0,0.0,0.0,60.0
Average From 6,0.0,0.2222222222222222,0.0,0.5555555555555556,0.3333333333333333,0.0,0.0,10.0
Average From 7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Total Letters Received,57.0,102.0,7.0,17.0,3.0,1.0,0.0,187.0
